Addres,Price,Bedrooms,Bathrooms,Rest,List Price,Price Sq.Ft,Est. Mo. Payment,Buyer,Redfin estimate,HOA Dues,Status,Time on Redfin,Property Type,Year Built,Style,Community,Lot Size,MLS#,Path_for_img,Brokerage Compensation
22 Nancy Rd,"$442,000",2,1,810,442000,546,1981,,,,Active,7 days,Single Family Residential,1950,Ranch,Dedham,"8,099 Sq. Ft.",72849308,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/0
133 Saint Botolph St #1,"$723,600",1,1,760,723600,952,3423,,718456,281/month,Active,11 days,Townhouse,1890,Townhouse,Boston,760 Sq. Ft.,72847840,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/1
38 Breck Ave #2,"$699,000",3,2,"1,471",699000,475,3009,,697111,230/month,Active,7 days,Condo,1920,Low-Rise,Boston,"1,471 Sq. Ft.",72849180,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/2
60 H St Unit B,"$624,999",2,1,854,624999,732,2956,,625761,250/month,Active,11 days,Condo,1890,2/3 Family,Boston,854 Sq. Ft.,72847362,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/3
70 Lincoln St Unit L413,"$895,000",2,2,"1,055",895000,848,4600,,892933,708/month,Active,19 days,Condo,2006,Mid-Rise,Boston,"1,055 Sq. Ft.",72841787,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/4
10 Orleans St #404,"$699,000",2,2,"1,096",699000,638,3132,,699015,403/month,Active,19 days,Condo,1985,Low-Rise,Boston,"1,096 Sq. Ft.",72841225,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/5
65 E INDIA Row Unit 30A&B,"$2,700,000",3,3,"2,474",2700000,1091,13609,,699015,"2,462/month",Active,46 days,Condo,1972,High-Rise,Waterfront,"2,178 Sq. Ft.",72826900,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/6
45 W Broadway #108,"$599,800",1,1,801,599800,749,3056,,588405,440/month,Active,54 days,Condo,1900,Other (See Remarks),Boston,801 Sq. Ft.,72822617,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/7
85 E India Row Unit 28G,"$739,999",1,1.5,959,739999,772,4125,,719709,862/month,Active,89 days,Condo,1972,High-Rise,Boston,959 Sq. Ft.,72803720,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/8
719 E 7Th St #3,"$949,000",3,1.5,"1,812",949000,524,4261,,949695,300/month,New,2 days,Townhouse,1989,Townhouse,South Boston,"1,812 Sq. Ft.",72853025,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/9
27 N Munroe Ter #1,"$539,900",2,1,"1,005",539900,537,2473,,543088,160/month,New,35 hours,Condo,1900,Duplex,Dorchester's Neponset,"1,005 Sq. Ft.",72853088,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/10
10 Charlesgate E #401,"$1,199,000",2,2,"1,118",1199000,1072,6106,,1192975,956/month,Active,4 days,Condo,1910,Mid-Rise,Back Bay,"1,005 Sq. Ft.",72852213,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/11
16-18 Walk Hill St #7,"$249,000",—,1,330,249000,755,1396,,254891,295/month,Active,5 days,Condo,1920,Mid-Rise,Jamaica Plain,"1,005 Sq. Ft.",72850579,/home/asus/Desktop/Мучительные_две_недели/redfin/osnova/12
